measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Germany,Male,Age-standardized,Depressive disorders,Percent,1991,0.028832874551474583,0.032706844410836815,0.025716165380727
Prevalence,Germany,Female,Age-standardized,Depressive disorders,Percent,1991,0.03966109036025938,0.04466584017258961,0.03527940298205619
Prevalence,Finland,Male,Age-standardized,Depressive disorders,Percent,1990,0.046187101705250866,0.05309308389878736,0.04049706677442388
Prevalence,Finland,Female,Age-standardized,Depressive disorders,Percent,1990,0.061456857259639834,0.07109601027017788,0.053215919247356344
Prevalence,Peru,Male,Age-standardized,Depressive disorders,Percent,1990,0.019507840143726245,0.02303998224497006,0.016902198575260236
Prevalence,Peru,Female,Age-standardized,Depressive disorders,Percent,1990,0.030293695536400083,0.03473110526244296,0.02624141744865995
Prevalence,Estonia,Male,Age-standardized,Depressive disorders,Percent,1990,0.03832659981402016,0.04370279233450457,0.03365012413618529
Prevalence,Estonia,Female,Age-standardized,Depressive disorders,Percent,1990,0.05911776955656203,0.06748718273707474,0.051871951880843446
Prevalence,Micronesia (Federated States of),Male,Age-standardized,Depressive disorders,Percent,1990,0.02674506088825992,0.031208058345266503,0.022972568712478023
Prevalence,Micronesia (Federated States of),Female,Age-standardized,Depressive disorders,Percent,1990,0.03495765529850562,0.040754506308023734,0.029992765190915295
Prevalence,Czechia,Male,Age-standardized,Depressive disorders,Percent,1990,0.023539098023838734,0.027548860443932878,0.020477694913708728
Prevalence,Czechia,Female,Age-standardized,Depressive disorders,Percent,1990,0.04492437145340301,0.051592918763704365,0.03922893752744607
Prevalence,Philippines,Male,Age-standardized,Depressive disorders,Percent,1991,0.027260830112390097,0.030527763358785678,0.02415035140857513
Prevalence,Philippines,Female,Age-standardized,Depressive disorders,Percent,1991,0.0354423397353761,0.0395316853380137,0.03156464923336384
Prevalence,Kuwait,Male,Age-standardized,Depressive disorders,Percent,1990,0.03426783255808561,0.03942691658954598,0.029519508270353673
Prevalence,Kuwait,Female,Age-standardized,Depressive disorders,Percent,1990,0.05313717232559479,0.06187664906939534,0.04578689543296207
Prevalence,Maldives,Male,Age-standardized,Depressive disorders,Percent,1990,0.0285689455430521,0.03306732587983362,0.02493101118372887
Prevalence,Maldives,Female,Age-standardized,Depressive disorders,Percent,1990,0.044681280742804655,0.0512457825692569,0.03867694927915969
Prevalence,United Arab Emirates,Male,Age-standardized,Depressive disorders,Percent,1990,0.036102632783206426,0.04140339673522086,0.031249812662617334
Prevalence,United Arab Emirates,Female,Age-standardized,Depressive disorders,Percent,1990,0.049024175449482996,0.05639682250824679,0.04267476116928428
Prevalence,Angola,Male,Age-standardized,Depressive disorders,Percent,1990,0.05228753949976714,0.06055770874389552,0.04505761791677096
Prevalence,Angola,Female,Age-standardized,Depressive disorders,Percent,1990,0.06768975820726192,0.07863640766525687,0.05852286587877586
Prevalence,Singapore,Male,Age-standardized,Depressive disorders,Percent,1990,0.022964243322149015,0.0258175971646071,0.020543795798877225
Prevalence,Singapore,Female,Age-standardized,Depressive disorders,Percent,1990,0.03779321808102782,0.042258267229643154,0.033523927469501745
Prevalence,France,Male,Age-standardized,Depressive disorders,Percent,1990,0.03597795482908212,0.04010668868090299,0.03273927491333828
Prevalence,France,Female,Age-standardized,Depressive disorders,Percent,1990,0.05893660198704547,0.06394035675270897,0.05367901697420295
